DATE,DEX,VOLUME_USD,PCT_SHARE
2023-10-17 00:00:00.000,camelot,5818273.22,2.2042293167209976
2023-10-17 00:00:00.000,dodo,523528.76,0.19833675685285043
2023-10-17 00:00:00.000,others,31157477.51,11.803884548862275
2023-10-17 00:00:00.000,pancakeswap,38883000.2,14.730667626314808
2023-10-17 00:00:00.000,quickswap,14616061.1,5.537235731876708
2023-10-17 00:00:00.000,ramses-v2,4700293.8,1.7806873275645074
2023-10-17 00:00:00.000,trader joe,31546918.12,11.951422551500745
2023-10-17 00:00:00.000,uniswap,125894661.47,47.694684167966834
2023-10-17 00:00:00.000,woofi,10819310.17,4.098851972340281
2023-10-18 00:00:00.000,camelot,5311539.81,2.1904540801140002
2023-10-18 00:00:00.000,dodo,621658.18,0.25636891476433155
2023-10-18 00:00:00.000,others,27892719.76,11.502826673489322
2023-10-18 00:00:00.000,pancakeswap,33095097.68,13.648262902679322
2023-10-18 00:00:00.000,quickswap,15396400.14,6.349403132070427
2023-10-18 00:00:00.000,ramses-v2,3568039.67,1.4714428080621147
2023-10-18 00:00:00.000,trader joe,19404027.85,8.002129983975061
2023-10-18 00:00:00.000,uniswap,127762058.67,52.68847315623636
2023-10-18 00:00:00.000,woofi,9434245.01,3.8906383486090537
2023-10-19 00:00:00.000,camelot,5143923.52,2.062577701835938
2023-10-19 00:00:00.000,dodo,574945.12,0.230537833558495
2023-10-19 00:00:00.000,others,29550511.2,11.848975833717907
2023-10-19 00:00:00.000,pancakeswap,32012893.54,12.836326226493302
2023-10-19 00:00:00.000,quickswap,14218448.26,5.701222854842133
2023-10-19 00:00:00.000,ramses-v2,3788676.69,1.5191594567602724
2023-10-19 00:00:00.000,trader joe,26970598.57,10.814498893570299
2023-10-19 00:00:00.000,uniswap,126725521.7,50.81359283350043
2023-10-19 00:00:00.000,woofi,10407438.35,4.173108365721231
2023-10-20 00:00:00.000,camelot,7896181.9,2.0462035357260246
2023-10-20 00:00:00.000,dodo,1154794.98,0.2992516637838173
2023-10-20 00:00:00.000,others,31686011.53,8.21106069323727
2023-10-20 00:00:00.000,pancakeswap,40840319.43,10.583292922601778
2023-10-20 00:00:00.000,quickswap,22693566.1,5.880773237006135
2023-10-20 00:00:00.000,ramses-v2,5623702.49,1.4573169747912278
2023-10-20 00:00:00.000,trader joe,42187529.48,10.932406709820336
2023-10-20 00:00:00.000,uniswap,219140567.52,56.78772472053001
2023-10-20 00:00:00.000,woofi,14671582.06,3.8019695425033855
2023-10-21 00:00:00.000,camelot,4933552.56,1.5674798300786381
2023-10-21 00:00:00.000,dodo,693527.64,0.2203464084108266
2023-10-21 00:00:00.000,others,39619586.8,12.58786694370392
2023-10-21 00:00:00.000,pancakeswap,31711824.68,10.07542637001722
2023-10-21 00:00:00.000,quickswap,18969236.03,6.026873030623188
2023-10-21 00:00:00.000,ramses-v2,4702843.05,1.494179201548935
2023-10-21 00:00:00.000,trader joe,43288862.48,13.75366289894111
2023-10-21 00:00:00.000,uniswap,157076070.65,49.90593888228125
2023-10-21 00:00:00.000,woofi,13748741.32,4.368226434394924
2023-10-22 00:00:00.000,camelot,6945561.84,1.7231616171754245
2023-10-22 00:00:00.000,dodo,595148.83,0.14765365912613654
2023-10-22 00:00:00.000,others,43331370.61,10.750311691812
2023-10-22 00:00:00.000,pancakeswap,44973633.6,11.157749508199759
2023-10-22 00:00:00.000,quickswap,23049452.3,5.718462007139196
2023-10-22 00:00:00.000,ramses-v2,7784032.84,1.9311823759848652
2023-10-22 00:00:00.000,trader joe,57145549.3,14.17754523169949
2023-10-22 00:00:00.000,uniswap,207160021.02,51.39543856324201
2023-10-22 00:00:00.000,woofi,12086060.09,2.9984953456211336
2023-10-23 00:00:00.000,camelot,17912435.31,2.0096629005995217
2023-10-23 00:00:00.000,dodo,1521936.97,0.1707517829221317
2023-10-23 00:00:00.000,others,96144815.06,10.786845259573148
2023-10-23 00:00:00.000,pancakeswap,98708254.8,11.074447121310198
2023-10-23 00:00:00.000,quickswap,62928660.67,7.060201058329195
2023-10-23 00:00:00.000,ramses-v2,10177651.1,1.1418686223808565
2023-10-23 00:00:00.000,trader joe,76362864.61,8.567434485278884
2023-10-23 00:00:00.000,uniswap,497743790.36,55.84373158527699
2023-10-23 00:00:00.000,woofi,29815010.47,3.345057184329075
2023-10-24 00:00:00.000,camelot,22827007.81,2.2048009334705037
2023-10-24 00:00:00.000,dodo,944712.14,0.09124727276872638
2023-10-24 00:00:00.000,others,91118297.53,8.800877851471114
2023-10-24 00:00:00.000,pancakeswap,99437674.68,9.604424713980956
2023-10-24 00:00:00.000,quickswap,74697063.28,7.21479381871072
2023-10-24 00:00:00.000,ramses-v2,12128813.74,1.171490371336666
